date_id,crops,vietnam_forex,europe_forex,ldn_1_last,ldn_1_ma_200,ldn_1_ma_50,ldn_2_last,ldn_2_ma_200,ldn_2_ma_50,ny_1_last,ny_1_ma_200,ny_1_ma_50,ny_2_last,ny_2_ma_200,ny_2_ma_50,Month,Week,Day,Dayofweek,Dayofyear
20100104,2009-2010,18167,0.693289995,1321,1425.965174,1345.745098,1364,1448.004975,1379.27451,141.85,128.6134328,139.7294118,143.65,130.5995025,141.427451,1,1,4,0,4
20100105,2009-2010,18415,0.696089983,1315,1424.935323,1343.098039,1357,1447.109453,1376.705882,141,128.7467662,139.6647059,142.85,130.7323383,141.3480392,1,1,5,1,5
20100106,2009-2010,18425,0.694249988,1339,1423.885572,1341.176471,1381,1446.19403,1374.784314,141.6,128.8731343,139.6245098,143.4,130.8577114,141.2892157,1,1,6,2,6
20100107,2009-2010,18190,0.698419988,1348,1422.955224,1340.882353,1388,1445.338308,1374.372549,141.9,128.9945274,139.7176471,143.75,130.9783582,141.3617647,1,1,7,3,7
20100108,2009-2010,18205,0.693910003,1360,1421.930348,1340.784314,1400,1444.432836,1374.156863,145.35,129.1368159,139.8911765,147.2,131.1201493,141.5137255,1,1,8,4,8
20100111,2009-2010,18198,0.689119995,1346,1420.885572,1339.843137,1385,1443.482587,1373.117647,143.7,129.2711443,140.0352941,145.55,131.2537313,141.6362745,1,2,11,0,11
20100112,2009-2010,18196,0.69076997,1357,1419.910448,1339.137255,1396,1442.621891,1372.294118,143.1,129.3992537,140.2019608,144.95,131.3813433,141.7813725,1,2,12,1,12
20100113,2009-2010,18201,0.688520014,1359,1418.925373,1338.215686,1398,1441.756219,1371.176471,145.15,129.5450249,140.3666667,146.9,131.5261194,141.9215686,1,2,13,2,13
20100114,2009-2010,18207,0.689660013,1357,1418.014925,1337.647059,1396,1440.965174,1370.490196,144.35,129.700995,140.5401961,146.05,131.6808458,142.0686275,1,2,14,3,14
20100115,2009-2010,18198,0.694880009,1336,1417.079602,1335.784314,1375,1440.149254,1368.490196,140.75,129.8253731,140.5088235,142.55,131.8044776,142.0127451,1,2,15,4,15
20100118,2009-2010,18202,0.69411999,1331,1416.119403,1334.156863,1376,1439.258706,1367,140.825,129.8910448,140.5068627,142.6,131.8696517,141.997549,1,3,18,0,18
20100119,2009-2010,18190,0.700230002,1328,1415.099502,1332.588235,1373,1438.477612,1365.54902,140.9,129.9567164,140.504902,142.65,131.9348259,141.9823529,1,3,19,1,19
20100120,2009-2010,18203,0.708700001,1305,1413.825871,1330.607843,1345,1437.442786,1363.588235,139.2,130.0681592,140.4745098,141,132.0455224,141.9264706,1,3,20,2,20
20100121,2009-2010,18187,0.709370017,1292,1412.472637,1328.45098,1327,1436.288557,1361.392157,138.7,130.1691542,140.4078431,140.45,132.1452736,141.8343137,1,3,21,3,21
20100122,2009-2010,18190,0.707159996,1325,1411.288557,1327.568627,1360,1435.328358,1360.313725,139.6,130.2791045,140.4215686,141.4,132.2544776,141.8235294,1,3,22,4,22
20100125,2009-2010,18218,0.706709981,1329,1410.139303,1328.627451,1364,1434.383085,1361.176471,139.4,130.3880597,140.4088235,141.2,132.3624378,141.7852941,1,4,25,0,25
20100126,2009-2010,18199,0.710110009,1312,1408.910448,1328.607843,1347,1433.358209,1361.372549,138.25,130.4878109,140.4911765,140.1,132.4614428,141.8431373,1,4,26,1,26
20100127,2009-2010,18184,0.712710023,1298,1407.557214,1328.705882,1333,1432.238806,1361.764706,133.55,130.5587065,140.5078431,135.45,132.531592,141.8362745,1,4,27,2,27
20100128,2009-2010,18179,0.715919971,1295,1406.432836,1328.901961,1330,1431.363184,1362.235294,132.95,130.6470149,140.5529412,134.85,132.6189055,141.8598039,1,4,28,3,28
20100129,2009-2010,18192,0.721140027,1295,1405.343284,1328.45098,1324,1430.452736,1361.941176,131.7,130.7281095,140.5647059,133.6,132.699005,141.8480392,1,4,29,4,29
20100201,2009-2010,18410,0.718029976,1322,1404.447761,1328.72549,1355,1429.791045,1362.470588,132.55,130.8119403,140.4901961,134.45,132.7830846,141.75,2,5,1,0,32
20100202,2009-2010,18405,0.715499997,1339,1403.681592,1328.823529,1372,1429.253731,1362.823529,135.05,130.9179104,140.4764706,136.95,132.8895522,141.7127451,2,5,2,1,33
20100203,2009-2010,18440,0.719370008,1324,1402.79602,1329.078431,1357,1428.631841,1363.411765,133,131.0231343,140.377451,134.85,132.9945274,141.6009804,2,5,3,2,34
20100204,2009-2010,18425,0.727540016,1310,1401.880597,1328.803922,1344,1427.955224,1363.411765,131.55,131.1221393,140.3088235,133.4,133.0930348,141.5294118,2,5,4,3,35
20100205,2009-2010,18425,0.730989993,1295,1400.870647,1328.039216,1330,1427.114428,1363.058824,128.8,131.2044776,140.195098,130.7,133.1743781,141.4303922,2,5,5,4,36
20100208,2009-2010,18415,0.732349992,1296,1399.935323,1327.686275,1330,1426.318408,1363.098039,130.65,131.2726368,140.0843137,132.55,133.24801,141.3352941,2,6,8,0,39
20100209,2009-2010,18410,0.725579977,1300,1398.955224,1327.176471,1331,1425.427861,1362.921569,130.4,131.3355721,139.9735294,132.25,133.3176617,141.2588235,2,6,9,1,40
20100210,2009-2010,18405,0.727100015,1295,1398.164179,1326.745098,1325,1424.706468,1362.803922,132.2,131.4012438,139.8441176,133.8,133.3890547,141.1588235,2,6,10,2,41
20100211,2009-2010,18400,0.73089999,1300,1397.427861,1326.392157,1331,1424.00995,1362.784314,132.2,131.4873134,139.7313725,133.65,133.4798507,141.072549,2,6,11,3,42
20100212,2009-2010,18400,0.733410001,1297,1396.671642,1325.980392,1329,1423.298507,1362.294118,132.75,131.5721393,139.554902,134.3,133.5696517,140.9215686,2,6,12,4,43
20100215,2009-2010,18602,0.735130012,1286,1395.985075,1324.784314,1318,1422.626866,1360.980392,133.1,131.6154229,139.4661765,134.675,133.615796,140.8465686,2,7,15,0,46
20100216,2009-2010,18405,0.726369977,1286,1395.044776,1323.803922,1316,1421.736318,1359.862745,133.45,131.6587065,139.377451,135.05,133.6619403,140.7715686,2,7,16,1,47
20100217,2009-2010,18405,0.734920025,1277,1393.960199,1322.45098,1310,1420.716418,1358.431373,132.25,131.7445274,139.1627451,134.65,133.7552239,140.5941176,2,7,17,2,48
20100218,2009-2010,18525,0.742860019,1272,1392.820896,1321.509804,1306,1419.686567,1357.45098,134.1,131.8154229,138.9656863,136.4,133.8348259,140.4323529,2,7,18,3,49
20100219,2009-2010,18500,0.734480023,1269,1391.78607,1319.392157,1303,1418.756219,1355.372549,134.75,131.8878109,138.8411765,137.05,133.9154229,140.3480392,2,7,19,4,50
20100222,2009-2010,18525,0.734990001,1226,1390.502488,1316.862745,1263,1417.587065,1352.921569,129.85,131.9186567,138.5196078,131.9,133.9514925,140.0598039,2,8,22,0,53
20100223,2009-2010,18505,0.739260018,1226,1389.218905,1313.980392,1264,1416.373134,1350.137255,130.35,131.9504975,138.2588235,132.25,133.9880597,139.8313725,2,8,23,1,54
20100224,2009-2010,18776,0.738380015,1233,1387.965174,1311.058824,1271,1415.208955,1347.352941,130.45,131.9843284,138.0411765,132.85,134.0291045,139.6588235,2,8,24,2,55
20100225,2009-2010,18505,0.738770008,1216,1386.651741,1308.117647,1259,1414.00995,1344.705882,127.7,131.9942786,137.7480392,129.8,134.0445274,139.4058824,2,8,25,3,56
20100226,2009-2010,18800,0.733619988,1238,1385.442786,1305.509804,1284,1412.910448,1342.392157,129.05,132.0002488,137.4823529,131.2,134.0579602,139.1813725,2,8,26,4,57
20100301,2009-2010,19000,0.737349987,1269,1384.358209,1303.470588,1294,1411.835821,1340.235294,129.55,132.0072139,137.1627451,131.75,134.0726368,138.9039216,3,9,1,0,60
20100302,2009-2010,19025,0.734179974,1252,1383.089552,1301.098039,1279,1410.59204,1337.745098,130.2,132.0236318,136.8294118,132.3,134.0982587,138.6107843,3,9,2,1,61
20100303,2009-2010,19005,0.729839981,1254,1381.810945,1299.254902,1284,1409.338308,1335.745098,129.7,132.0323383,136.4666667,132.1,134.1186567,138.2931373,3,9,3,2,62
20100304,2009-2010,19000,0.73615998,1210,1380.343284,1297,1249,1407.915423,1333.490196,127.85,132.0338308,136.1107843,130.2,134.130597,137.9794118,3,9,4,3,63
20100305,2009-2010,19010,0.733730018,1200,1378.791045,1294.941176,1232,1406.38806,1331.294118,128,132.0268657,135.7901961,130.4,134.1355721,137.6882353,3,9,5,4,64
20100308,2009-2010,19000,0.734380007,1190,1377.303483,1293,1222,1404.925373,1329.215686,128.7,132.0089552,135.4588235,131.1,134.120398,137.3715686,3,10,8,0,67
20100309,2009-2010,19005,0.734920025,1219,1375.9801,1291.509804,1245,1403.606965,1327.45098,130.25,131.9937811,135.2196078,132.75,134.1087065,137.1470588,3,10,9,1,68
20100310,2009-2010,19050,0.732959986,1208,1374.487562,1289.960784,1233,1402.114428,1325.607843,130.5,131.9674129,134.9813725,132.75,134.0845771,136.9186275,3,10,10,2,69
20100311,2009-2010,19050,0.73071003,1203,1373.054726,1288.843137,1237,1400.691542,1324.352941,131.45,131.9497512,134.827451,133.75,134.0689055,136.7764706,3,10,11,3,70
20100312,2009-2010,19050,0.726220012,1203,1371.621891,1287.392157,1227,1399.134328,1322.568627,130.15,131.918408,134.6941176,132.5,134.0400498,136.654902,3,10,12,4,71
20100315,2009-2010,18603,0.731130004,1201,1369.840796,1285.568627,1225,1397.422886,1320.470588,128.65,131.8843284,134.5431373,131.05,134.0084577,136.5156863,3,11,15,0,74
20100316,2009-2010,19055,0.726279974,1206,1368.139303,1283.313725,1231,1395.791045,1317.862745,130.35,131.8522388,134.4196078,132.75,133.978607,136.4039216,3,11,16,1,75
20100317,2009-2010,19025,0.727890015,1223,1366.587065,1281.509804,1248,1394.298507,1315.72549,131.2,131.821393,134.3264706,133.6,133.9497512,136.3254902,3,11,17,2,76
20100318,2009-2010,19015,0.734539986,1242,1365.089552,1279.607843,1267,1392.865672,1313.490196,133.15,131.7761194,134.1558824,135.55,133.9067164,136.1666667,3,11,18,3,77
20100319,2009-2010,19025,0.73872,1226,1363.487562,1277.215686,1258,1391.363184,1310.941176,130.3,131.7179104,133.9460784,132.5,133.8497512,135.9637255,3,11,19,4,78
20100322,2009-2010,19000,0.737079978,1241,1362.014925,1274.882353,1273,1389.99005,1308.45098,133,131.6912935,133.777451,134.7,133.8216418,135.7931373,3,12,22,0,81
20100323,2009-2010,19005,0.742500007,1255,1360.577114,1273.098039,1287,1388.646766,1306.529412,134.75,131.6691542,133.6372549,136.35,133.7977612,135.6480392,3,12,23,1,82
20100324,2009-2010,18425,0.750129998,1255,1359.18408,1271.098039,1287,1387.338308,1304.392157,134.3,131.671393,133.4205882,135.95,133.7982587,135.427451,3,12,24,2,83
20100325,2009-2010,19005,0.751479983,1310,1358.074627,1270.137255,1342,1386.318408,1303.294118,137,131.7059701,133.2892157,138.6,133.830597,135.2911765,3,12,25,3,84
